LANG_NAME;LANG_ISO;GENEALOGICAL_AFFILIATION;MACRO_AREA;SOURCE;ENC_AVAILABLE;DISTINCT_FROM_CN;RELATED_TO_CN
Ternate;tft;North Halmahera, Northern North Halmahera;Southeast Asia-Oceania;Hayami-Allen (2001: 180);No;DNA;DNA
Ternateño;tmg;Pidgins and creoles;Southeast Asia-Oceania;Sippola (2011: 270);Yes;Yes;Yes
Thai;tha;Tai-Kadai, Kam-Tai;Southeast Asia-Oceania;Smyth (2002: 143);No;DNA;DNA
Thao;ssf;Austronesian, Western Plains Austronesian;Southeast Asia-Oceania;Wang (2004: 270);No;DNA;DNA
Tipai;dih;Cochimi-Yuman;North America-Mesoamerica;Miller (2001: 187);No;DNA;DNA
To’abaita;mlu;Austronesian, Malayo-Polynesian;Southeast Asia-Oceania;Lichtenberk (2008: 1021);No;DNA;DNA
Tommo So Dogon;dto;Dogon, Escarpment Dogon;Africa;McPherson (2013: 443);No;DNA;DNA
Toura;neb;Mande, Eastern Mande;Africa;Bearth (1971: 280-281);No;DNA;DNA
Tukang Besi South;bhq;Austronesian, Malayo-Polinesian;Southeast Asia-Oceania;Donohue (1999: 421-422);No;DNA;DNA
Turkish;tur;Turkic, Common Turkic;Eurasia;Kornfilt (2006: 111);Yes;Yes;Yes
Tuvalu;tvl;Austronesian, Malayo-Polynesian;Southeast Asia-Oceania;Besnier (2000: 186);No;DNA;DNA
Udihe;ude;Tungusic, Central Tungusic;Eurasia;Nikolaeva & Tolskaya (2001: 657);No;DNA;DNA
Udmurt;udm;Uralic, Permian;Eurasia;Edygarova (2015: 287);Yes;No;Yes
Urarina;ura;Language isolate;South America;Olawsky (2006: 555);No;DNA;DNA
Ute-Southern Paiute;ute;Uto-Aztecan, Northern Uto-Aztecan;North America-Mesoamerica;Givón (2011: 185);No;DNA;DNA
Vaeakau-Taumako;piv;Austronesian, Malayo-Polynesian;Southeast Asia-Oceania;Næss & Hovdhaugen (2011: 393-394);No;DNA;DNA
Wandala;mfi;Afro-Asiatic, Chadic;Africa;Frajzyngier (2012: 428);No;DNA;DNA
Wappo;wao;Yuki-Wappo, Wappo;North America-Mesoamerica;Thompson et al. (1990: 23);No;DNA;DNA
Warao;wba;Language isolate;South America;Romero-Figeroa (1997: 123);No;DNA;DNA
Wardaman;wmb;Yangmanic, Wardaman;Australia-Papua New Guinea;Merlan (1994: 301);No;DNA;DNA
Wari’;pav;Chapacuran, Moreic-Waric;South America;Everett & Kern (1997: 460);No;DNA;DNA
Warlpiri;wbp;Pama-Nyungan, Desert Nyungic;Australia-Papua New Guinea;Bowler (2014: 139);No;DNA;DNA
Watam;wax;Lower Sepik-Ramu, Ramu;Australia-Papua New Guinea;Foley (2010: 102);No;DNA;DNA
Western Keres;kjq;Keresan, Western Keres;North America-Mesoamerica;Miller (1965: 123, 228-229);No;DNA;DNA
Western Xiangxi Miao;mmr;Hmong-Mien, Hmongic;Southeast Asia-Oceania;Sposato (2015: 436, 572-573);No;DNA;DNA
Wolaytta;wal;Ta-Ne-Omotic, Ometo;Africa;Wakasa (2008: 689);No;DNA;DNA
Woleaian;woe;Austronesian, Malayo-Polynesian;Southeast Asia-Oceania;Sohn (1975: 297);No;DNA;DNA
Wolof;wol;Atlantic-Congo, North-Central Atlantic;Africa;Diouf (2009: 107-108);No;DNA;DNA
Xamtanga;xan;Afro-Asiatic, Cushitic;Africa;Teshome (2015: 268-269);Yes;No;Yes
Xicotepec De Juárez Totonac;tqt;Totonacan, Totonac;North America-Mesoamerica;Reid (1991: 78);No;DNA;DNA
Xinca-Guazacapan;xin;Xincan, Xinca-Guazacapan;North America-Mesoamerica;Rogers (2010: 385);No;DNA;DNA
Yagua;yad;Peba-Yagua, Yagua;South America;Payne (1985: 247);No;DNA;DNA
Yakkha;ybh;Sino-Tibetan, Himalayish;Southeast Asia-Oceania;Schackow (2015: 448);No;DNA;DNA
Yeri;yev;Nuclear Torricelli, West Palai;Australia-Papua New Guinea;Wilson (2017: 376, 513-514);No;DNA;DNA
Yucatec Maya;yua;Mayan, Core Mayan;North America-Mesoamerica;Bolles & Bolles (2001: 66);Yes;Yes;Yes
